
1	12	12	0.153846	1.053846
2	6	11	0.105263	6.354656
3	1	11	0.250000	13.300202
4	7	12	0.222222	7.987989
5	2	12	0.400000	17.944647
6	10	9	0.153846	0.000000
7	15	15	0.076923	1.662101
8	14	14	0.066667	1.628767
9	5	14	0.500000	20.287674
10	16	16	0.090909	2.019677
11	9	9	0.076923	1.942753
12	3	20	0.153846	35.844056
13	5	20	0.222222	31.416939
14	18	18	0.083333	1.824670
15	10	11	0.068966	2.987271
16	12	12	0.086957	1.426746
17	16	18	0.068966	4.256364
18	6	18	0.521739	24.360187
19	10	10	0.117647	1.491508
20	3	10	0.428571	14.633360
21	14	14	0.111111	1.863358
22	4	14	0.421053	23.436209
23	12	16	0.117647	10.129947
24	12	12	0.080000	2.022656
25	2	12	0.266667	24.423928
26	15	15	0.111111	2.244512
27	5	15	0.476190	29.169103
28	12	12	0.111111	2.241109
29	5	12	0.555556	21.432137
30	9	11	0.133333	7.151337
31	3	11	0.461538	24.607858
32	7	7	0.181818	2.494972
33	3	7	0.545455	14.613897
34	12	12	0.125000	2.967779
35	4	12	0.470588	28.545309
36	9	9	0.142857	3.203447
37	1	9	0.181818	26.181673
38	7	7	0.222222	3.020186
39	2	7	0.400000	17.187782
40	6	6	0.222222	2.953519
41	1	6	0.250000	16.451884
42	8	8	0.200000	2.760163
43	3	8	0.500000	16.288248
44	6	6	0.200000	2.789708
45	2	6	0.444444	13.817821
46	2	6	0.800000	17.103535
47	7	7	0.200000	3.438889
48	1	7	0.222222	24.072222
49	12	12	0.142857	3.181746
50	4	12	0.470588	30.871008
51	8	8	0.153846	3.333958
52	1	8	0.200000	26.671666
53	14	14	0.125000	2.958958
54	13	13	0.071429	2.830387
55	6	13	0.600000	23.887539
56	17	17	0.083333	2.269276
57	9	17	0.666667	24.623481
58	14	14	0.083333	2.597053
59	6	17	0.095238	30.593213
60	14	14	0.095238	2.174084
61	7	14	0.636364	21.252814
62	10	10	0.111111	2.567713
63	4	10	0.533333	20.832323
64	11	11	0.125000	3.029618
65	6	11	0.666667	18.577706
66	11	11	0.111111	3.124062
67	4	11	0.500000	23.659163
68	10	10	0.133333	3.007395
69	4	10	0.533333	24.118434
70	10	11	0.133333	6.967172
71	2	11	0.307692	31.549145
72	17	18	0.100000	6.287607
73	4	18	0.363636	44.611597
74	7	7	0.166667	3.015773
75	3	7	0.545455	14.472805
76	3	7	0.857143	18.202964
77	9	9	0.153846	3.294439
78	3	9	0.461538	25.358508
79	7	7	0.181818	3.271129
80	1	7	0.222222	23.520124
81	11	12	0.153846	6.412343
82	2	12	0.285714	37.310745
83	9	9	0.166667	3.194916
84	2	9	0.333333	26.892663
85	14	14	0.117647	2.933775
86	14	14	0.068966	2.145598
87	6	14	0.571429	23.068624
88	12	12	0.105263	2.206905
89	4	12	0.470588	22.461077
90	15	17	0.100000	7.120359
91	4	17	0.400000	36.674496
92	8	9	0.153846	4.975477
93	2	9	0.363636	21.477667
94	12	12	0.133333	2.484708
95	3	12	0.375000	27.420613
96	12	12	0.125000	2.798096
97	1	12	0.142857	28.434293
98	8	8	0.200000	2.464261
99	2	8	0.363636	16.501166
100	8	10	0.181818	7.317383
101	4	10	0.615385	18.581585
102	14	14	0.105263	2.605929
103	4	14	0.421053	29.296800
104	9	10	0.142857	5.345738
105	1	10	0.181818	24.796874
106	2	2	0.500000	2.854687
107	1	2	0.500000	6.423661
108	1	2	0.666667	7.356994
109	2	3	0.500000	7.629721
110	12	12	0.133333	3.766376
111	6	12	0.631579	26.477990
112	7	7	0.142857	3.820164
113	8	8	0.125000	3.524111
114	1	8	0.200000	28.650034
115	3	3	0.400000	3.799436
116	3	3	0.857143	4.156579
117	3	3	0.857143	4.513722
